"cluster_id","disk_usage(MB)","timestamp"
"1000","9219","2012-06-01 04:03:38 PST"
"1001","13399","2012-06-01 04:03:38 PST"
"1002","13181","2012-06-01 04:03:38 PST"
"1003","13494","2012-06-01 04:03:38 PST"
"1004","6252","2012-06-01 04:03:38 PST"
"1005","9351","2012-06-01 04:03:38 PST"
"1006","13753","2012-06-01 04:03:38 PST"
"1007","5410","2012-06-01 04:03:38 PST"
"1008","1957","2012-06-01 04:03:38 PST"
"1009","5136","2012-06-01 04:03:38 PST"
"1010","5119","2012-06-01 04:03:38 PST"
"1011","9193","2012-06-01 04:03:38 PST"
"1012","1389","2012-06-01 04:03:38 PST"
"1013","2493","2012-06-01 04:03:38 PST"
"1014","4126","2012-06-01 04:03:38 PST"
"1015","13541","2012-06-01 04:03:38 PST"
"1016","4149","2012-06-01 04:03:38 PST"
"1017","13322","2012-06-01 04:03:38 PST"
"1018","6135","2012-06-01 04:03:38 PST"
"1019","7190","2012-06-01 04:03:38 PST"
"1020","5433","2012-06-01 04:03:38 PST"
"1021","13224","2012-06-01 04:03:38 PST"
"1022","3166","2012-06-01 04:03:38 PST"
"1023","12477","2012-06-01 04:03:38 PST"
"1024","6125","2012-06-01 04:03:38 PST"
"1025","3045","2012-06-01 04:03:38 PST"
"1026","11080","2012-06-01 04:03:38 PST"
"1027","13012","2012-06-01 04:03:38 PST"
"1028","8799","2012-06-01 04:03:38 PST"
"1029","6510","2012-06-01 04:03:38 PST"
"1030","13729","2012-06-01 04:03:38 PST"
"1031","6375","2012-06-01 04:03:38 PST"
"1032","2460","2012-06-01 04:03:38 PST"
"1033","8122","2012-06-01 04:03:38 PST"
"1034","8342","2012-06-01 04:03:38 PST"
"1035","3608","2012-06-01 04:03:38 PST"
"1036","14492","2012-06-01 04:03:38 PST"
"1037","7205","2012-06-01 04:03:38 PST"
"1038","10736","2012-06-01 04:03:38 PST"
"1039","1249","2012-06-01 04:03:38 PST"
"1040","10733","2012-06-01 04:03:38 PST"
"1041","9911","2012-06-01 04:03:38 PST"
"1042","1974","2012-06-01 04:03:38 PST"
"1043","14809","2012-06-01 04:03:38 PST"
"1044","6622","2012-06-01 04:03:38 PST"
"1045","6553","2012-06-01 04:03:38 PST"
"1046","3152","2012-06-01 04:03:38 PST"
"1047","6396","2012-06-01 04:03:38 PST"
"1048","10580","2012-06-01 04:03:38 PST"
"1049","1044","2012-06-01 04:03:38 PST"
"1050","4381","2012-06-01 04:03:38 PST"
"1051","14705","2012-06-01 04:03:38 PST"
"1052","10974","2012-06-01 04:03:38 PST"
"1053","7089","2012-06-01 04:03:38 PST"
"1054","9502","2012-06-01 04:03:38 PST"
"1055","10774","2012-06-01 04:03:38 PST"
"1056","11556","2012-06-01 04:03:38 PST"
"1057","2317","2012-06-01 04:03:38 PST"
"1058","7767","2012-06-01 04:03:38 PST"
"1059","5436","2012-06-01 04:03:38 PST"
"1060","3393","2012-06-01 04:03:38 PST"
"1061","3158","2012-06-01 04:03:38 PST"
"1062","1212","2012-06-01 04:03:38 PST"
"1063","9188","2012-06-01 04:03:38 PST"
"1064","9587","2012-06-01 04:03:38 PST"
"1065","3281","2012-06-01 04:03:38 PST"
"1066","3001","2012-06-01 04:03:38 PST"
"1067","12371","2012-06-01 04:03:38 PST"
"1068","15326","2012-06-01 04:03:38 PST"
"1069","14601","2012-06-01 04:03:38 PST"
"1070","7472","2012-06-01 04:03:38 PST"
"1071","12904","2012-06-01 04:03:38 PST"
"1072","6704","2012-06-01 04:03:38 PST"
"1073","14156","2012-06-01 04:03:38 PST"
"1074","5105","2012-06-01 04:03:38 PST"
"1075","6125","2012-06-01 04:03:38 PST"
